Task ID,Completed,golden_action,instruction,token_total,failure_reason,actual_actions,golden_actions_count,actual_actions_count
ai2thor03038,false,,"Please put the potato in the refrigerator, and then take the lettuce out of the refrigerator and put it on the counter.Remember to close the fridge.",,Reached max steps before task completion,RotateLeft | RotateLeft | MoveLeft | MoveRight(Medium) | PickupObject(Potato) | MoveAhead(Small) | MoveBack | RotateRight | MoveRight | OpenObject(Fridge) | MoveAhead(Medium) | OpenObject(Fridge) | PutObject(Fridge) | MoveRight(Medium) | MoveRight(Medium) | OpenObject(Fridge) | PutObject(Fridge) | MoveAhead(Small) | MoveRight(Small) | OpenObject(Fridge) | MoveAhead(Small) | Pass() | PutObject(Fridge) | RotateRight | MoveRight(Small) | PutObject(Fridge) | RotateRight | PutObject(Fridge) | PickupObject(Lettuce) | RotateLeft,9,30
ai2thor03044,true,,I forgot to turn off the lights and close the refrigerator door when I left. Please close them.,,,RotateRight | RotateRight | RotateLeft | RotateRight | ToggleObjectOff(LightSwitch) | CloseObject(Fridge) | MoveAhead(Medium) | MoveAhead(Medium) | MoveRight | DONE,5,10
ai2thor03054,false,,I'm outside the kitchen. Please bring the bread outside and turn off the kitchen lights.,,Reached max steps before task completion,RotateRight | Pass() | MoveAhead(Medium) | OpenObject(Fridge) | PickupObject(Bread) | MoveAhead(Small) | MoveBack(Small) | RotateRight | RotateLeft | PickupObject(Bread) | MoveRight(Small) | PickupObject(Bread) | MoveAhead(Small) | PickupObject(Bread) | RotateLeft | RotateRight | PickupObject(Bread),6,17
ai2thor03064,false,,I forgot to turn off the coffee machine and the kitchen light. Go turn them off.,,Reached max steps before task completion,ToggleObjectOff(CoffeeMachine) | RotateRight | MoveAhead(Small) | RotateLeft | ToggleObjectOff(CoffeeMachine) | RotateRight | RotateRight | MoveLeft(Medium) | ToggleObjectOff(CoffeeMachine) | RotateLeft | MoveAhead(Medium) | LookUp | ToggleObjectOff(CoffeeMachine) | LookDown | RotateRight | MoveRight(Medium) | ToggleObjectOff(CoffeeMachine) | RotateRight | RotateLeft | RotateLeft | RotateLeft | LookDown | MoveAhead(Medium) | LookUp | MoveLeft(Medium) | MoveRight(Small) | MoveBack(Medium) | MoveRight(Small),4,28
ai2thor03075,false,,Please help me throw the apple into the trash can and turn on my phone.,,Parse error: Unrecognized action format: ThrowObject,PickupObject(Apple) | RotateRight | RotateLeft | RotateLeft | RotateRight | LookDown | MoveLeft | RotateLeft | MoveAhead(Small) | MoveLeft(Small) | ToggleObjectOn(CellPhone) | MoveRight(Small) | ToggleObjectOn(CellPhone) | MoveAhead(Small) | MoveRight(Small) | ToggleObjectOn(CellPhone) | DONE,6,17
ai2thor04039,false,,I'm sleepy. Please wash the bowl in front of me and then fill it with a cup of coffee.,,Reached max steps before task completion,RotateLeft | MoveAhead(Medium) | RotateRight | MoveAhead(Medium) | MoveAhead(Medium) | MoveRight(Medium) | MoveRight(Medium) | RotateRight | RotateLeft | RotateLeft | RotateRight | MoveAhead(Medium) | MoveRight(Medium) | MoveLeft(Medium) | MoveLeft(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | MoveAhead(Small) | MoveAhead(Small) | MoveRight(Small) | MoveRight(Small) | MoveAhead(Small),1,22
ai2thor04046,false,,I want to work on my laptop while watching TV. Please enable both.,,Reached max steps before task completion,MoveRight(Small) | RotateRight | ToggleObjectOn(Television) | ToggleObjectOn(Laptop) | MoveLeft(Medium) | MoveAhead(Medium) | ToggleObjectOn(Television) | MoveLeft(Small) | MoveAhead(Small) | ToggleObjectOn(Laptop) | ToggleObjectOn(Television) | MoveAhead(Small) | MoveLeft(Medium) | ToggleObjectOn(Laptop) | ToggleObjectOn(Television) | MoveLeft(Small) | MoveAhead(Small) | MoveAhead(Small) | ToggleObjectOn(Television) | MoveRight(Small) | MoveLeft(Medium) | ToggleObjectOn(Laptop) | ToggleObjectOn(Television) | RotateLeft | Pass() | RotateRight | MoveAhead(Small) | ToggleObjectOn(Laptop) | RotateLeft | RotateRight,7,30
ai2thor04108,true,,"I want to get up and work, please turn on the computer and open the book",,,MoveAhead(Medium) | RotateRight(Medium) | MoveRight(Medium) | RotateLeft(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | ToggleObjectOn(Laptop) | MoveRight(Medium) | MoveRight(Medium) | OpenObject(Book) | ToggleObjectOn(Laptop) | MoveAhead(Medium) | MoveAhead(Large) | OpenObject(Book) | ToggleObjectOn(Laptop) | MoveAhead(Large) | MoveAhead(Medium) | OpenObject(Book) | ToggleObjectOn(Laptop) | MoveRight(Large) | MoveRight(Small) | OpenObject(Book) | ToggleObjectOn(Laptop) | MoveAhead(Small) | Pass() | OpenObject(Book) | DONE,5,27
ai2thor04109,true,,I'm getting ready for bed. Please make my bed and turn off the TV.,,,RotateRight | RotateRight | RotateLeft | ToggleObjectOff(Television) | MoveAhead(Medium) | MoveAhead(Medium) | MoveLeft(Small) | ToggleObjectOff(Television) | MoveAhead(Medium) | MoveAhead(Small) | CleanObject(Bed) | ToggleObjectOff(Television) | MoveAhead(Medium) | RotateLeft | CleanObject(Bed) | DONE,3,16
ai2thor04110,true,,"I need to get ready to work, please turn on my phone and computer.",,,MoveAhead(Small) | MoveAhead(Small) | MoveAhead(Small) | ToggleObjectOn(Laptop) | ToggleObjectOn(CellPhone) | LookDown | MoveAhead(Small) | ToggleObjectOn(CellPhone) | DONE,4,9
