Task ID,Completed,golden_action,instruction,token_total,failure_reason,actual_actions,golden_actions_count,actual_actions_count
ai2thor03038,false,,"Please put the potato in the refrigerator, and then take the lettuce out of the refrigerator and put it on the counter.Remember to close the fridge.",,Reached max steps before task completion,RotateLeft | RotateLeft | MoveLeft | MoveRight(Medium) | PickupObject(Potato) | MoveAhead(Small) | MoveBack | RotateRight | MoveRight | OpenObject(Fridge) | MoveAhead(Medium) | OpenObject(Fridge) | PutObject(Fridge) | MoveRight(Medium) | MoveRight(Medium) | OpenObject(Fridge) | PutObject(Fridge) | MoveAhead(Small) | MoveRight(Small) | OpenObject(Fridge) | MoveAhead(Small) | Pass() | PutObject(Fridge) | RotateRight | MoveRight(Small) | PutObject(Fridge) | RotateRight | PutObject(Fridge) | PickupObject(Lettuce) | RotateLeft,9,30
ai2thor03054,false,,I'm outside the kitchen. Please bring the bread outside and turn off the kitchen lights.,,Reached max steps before task completion,RotateRight | Pass() | MoveAhead(Medium) | OpenObject(Fridge) | PickupObject(Bread) | MoveAhead(Small) | MoveBack(Small) | RotateRight | RotateLeft | PickupObject(Bread) | MoveRight(Small) | PickupObject(Bread) | MoveAhead(Small) | PickupObject(Bread) | RotateLeft | RotateRight | PickupObject(Bread),6,17
ai2thor03075,false,,Please help me throw the apple into the trash can and turn on my phone.,,Parse error: Unrecognized action format: ThrowObject,PickupObject(Apple) | RotateRight | RotateLeft | RotateLeft | RotateRight | LookDown | MoveLeft | RotateLeft | MoveAhead(Small) | MoveLeft(Small) | ToggleObjectOn(CellPhone) | MoveRight(Small) | ToggleObjectOn(CellPhone) | MoveAhead(Small) | MoveRight(Small) | ToggleObjectOn(CellPhone) | DONE,6,17
ai2thor04046,false,,I want to work on my laptop while watching TV. Please enable both.,,Reached max steps before task completion,MoveRight(Small) | RotateRight | ToggleObjectOn(Television) | ToggleObjectOn(Laptop) | MoveLeft(Medium) | MoveAhead(Medium) | ToggleObjectOn(Television) | MoveLeft(Small) | MoveAhead(Small) | ToggleObjectOn(Laptop) | ToggleObjectOn(Television) | MoveAhead(Small) | MoveLeft(Medium) | ToggleObjectOn(Laptop) | ToggleObjectOn(Television) | MoveLeft(Small) | MoveAhead(Small) | MoveAhead(Small) | ToggleObjectOn(Television) | MoveRight(Small) | MoveLeft(Medium) | ToggleObjectOn(Laptop) | ToggleObjectOn(Television) | RotateLeft | Pass() | RotateRight | MoveAhead(Small) | ToggleObjectOn(Laptop) | RotateLeft | RotateRight,7,30
ai2thor04243,false,,"I am tired from reading. Please close the book, then turn off the light switch and the desk lamp.",,Reached max steps before task completion,RotateLeft | RotateLeft | RotateLeft | RotateRight | RotateLeft | LookDown | MoveAhead(Medium) | CloseObject(Book) | RotateLeft | MoveAhead(Small) | RotateLeft | CloseObject(Book) | RotateLeft | RotateRight | MoveAhead(Small) | ToggleObjectOff(DeskLamp) | MoveLeft | MoveAhead(Small) | MoveLeft | ToggleObjectOff(DeskLamp) | MoveLeft(Small) | ToggleObjectOff(DeskLamp) | LookDown | LookUp | RotateLeft | ToggleObjectOff(DeskLamp) | LookUp | MoveAhead(Small) | RotateLeft | ToggleObjectOff(DeskLamp),5,30
ai2thor05026,false,,"I'm doing some chores, so please put the laptop on the desk, then tidy up the bed and wiping it until it looks clean.",,Reached max steps before task completion,RotateRight | RotateRight | RotateRight | RotateRight | MoveAhead(Medium) | MoveAhead(Medium) | MoveLeft(Medium) | Pass() | MoveRight(Medium) | LookDown | MoveBack(Small) | MoveLeft(Large) | MoveLeft(Small) | RotateLeft | RotateRight | MoveLeft(Large) | RotateLeft | RotateRight,4,18
ai2thor05506,false,,I want to combine my workout with some housework—could you pick up the tennis racket in the corner and give the bed a quick clean?,,Reached max steps before task completion,PickupObject(TennisRacket) | RotateRight | MoveAhead(Small) | MoveAhead(Medium) | PickupObject(TennisRacket) | MoveRight | MoveAhead(Small) | RotateRight | PickupObject(TennisRacket) | Pass() | MoveLeft(Small) | MoveAhead(Small) | MoveRight(Small) | PickupObject(TennisRacket) | MoveAhead(Small) | PickupObject(TennisRacket) | MoveLeft(Small) | MoveAhead(Small),3,18
ai2thor05512,false,,"I'd like to read the book on my desk before bed. Please tidy up the bed first, then bring the book and place it on the bed for me.",,Reached max steps before task completion,CleanObject(Bed) | RotateLeft(90) | Pass() | RotateRight(90) | MoveLeft(Medium) | PickupObject(Book) | MoveLeft(Medium) | PickupObject(Book) | MoveLeft(Medium) | PickupObject(Book) | MoveAhead(Medium) | PickupObject(Book) | MoveLeft(Small) | PickupObject(Book) | MoveAhead(Small) | PickupObject(Book),4,16
ai2thor05517,false,,"I just woke up and I’m ready to get to work—you help me tidy the bed first, then use the laptop to start working and get it booted up.",,Model claimed DONE but success conditions were not met,MoveAhead(Medium) | MoveAhead(Medium) | MoveLeft(Medium) | PushObject(Bed) | PushObject(Bed) | PushObject(Bed) | PushObject(Bed) | PushObject(Bed) | MoveAhead(Medium) | MoveLeft(Medium) | MoveLeft(Medium) | MoveRight(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | RotateLeft(Medium) | MoveLeft(Medium) | MoveRight(Small) | MoveAhead(Medium) | MoveAhead(Small) | MoveBack(Medium) | MoveRight(Small) | MoveLeft(Medium) | ToggleObjectOn(Laptop) | DONE,2,24
ai2thor05528,false,,I'd like to work and watch TV at the same time. Could you please help me turn on the laptop and then the TV?,,communication / pass action,MoveAhead(Small) | RotateRight | ToggleObjectOn(Laptop) | RotateRight | MoveLeft(Small) | MoveAhead(Medium) | ToggleObjectOn(Laptop) | Pass() | MoveAhead(Small) | ToggleObjectOn(Laptop) | MoveLeft(Small) | ToggleObjectOn(Laptop) | MoveAhead(Medium) | ToggleObjectOn(Laptop) | MoveAhead(Small) | ToggleObjectOn(Laptop) | Pass(),3,17
