Task ID,Completed,golden_action,instruction,token_total,failure_reason,actual_actions,golden_actions_count,actual_actions_count
procthor107,false,,,,Model claimed DONE but success conditions were not met,RotateRight | LookDown | RotateLeft | RotateRight | LookDown | RotateRight | RotateLeft | PickupObject(Pen) | MoveAhead(Medium) | RotateLeft | MoveRight(Small) | MoveAhead(Medium) | MoveAhead(Medium) | RotateLeft | MoveLeft(Medium) | MoveAhead(Large) | MoveAhead(Medium) | RotateLeft | MoveBack(Large) | MoveAhead(Large) | RotateRight | MoveAhead(Large) | RotateRight | DropHandObject | DONE | DONE,,26
procthor201,,,,,env_error,RotateRight | RotateRight | RotateRight | RotateRight | RotateRight | RotateRight | ToggleObjectOff(FloorLamp) | MoveAhead(Medium) | MoveAhead(Medium) | MoveLeft(Medium) | MoveLeft(Medium) | RotateLeft | MoveAhead(Small) | MoveLeft(Medium) | MoveLeft(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | MoveLeft(Small) | MoveAhead(Small) | MoveRight(Small) | MoveLeft(Small) | MoveAhead(Medium) | MoveRight(Small) | MoveAhead(Medium) | MoveRight(Small) | MoveAhead(Medium) | RotateRight,,27
procthor202,,,,,env_error,RotateLeft | RotateRight | MoveAhead(Medium) | RotateLeft | MoveLeft(Small) | MoveLeft(Medium) | MoveBack(Small) | RotateLeft | MoveAhead(Medium) | MoveAhead(Medium) | RotateLeft | RotateLeft | RotateRight | MoveAhead(Medium) | MoveAhead(Medium) | MoveRight(Medium) | MoveLeft(Medium) | MoveAhead(Medium) | MoveBack(Small) | OpenObject(Door) | MoveLeft(Medium) | MoveRight(Small) | MoveLeft(Small) | OpenObject(Door) | MoveAhead(Large) | MoveAhead(Small) | MoveAhead(Medium) | OpenObject(Door) | MoveAhead(Medium),,29
procthor203,,,,,env_error,RotateRight | RotateRight | RotateLeft | ToggleObjectOn(CoffeeMachine) | MoveRight(Medium) | RotateLeft | ToggleObjectOn(CoffeeMachine) | RotateLeft | RotateLeft | RotateRight | MoveRight(Medium) | RotateRight | MoveAhead(Small) | MoveRight(Medium) | ToggleObjectOn(Toaster) | MoveAhead(Small) | MoveRight(Small) | MoveRight(Medium) | MoveAhead(Small) | MoveAhead(Small) | RotateRight | RotateRight | RotateLeft | RotateLeft | MoveRight(Small) | RotateLeft | RotateLeft,,27
procthor400,,,,,env_error,RotateRight | LookDown | LookDown | RotateLeft | RotateLeft | PickupObject(Bread) | RotateLeft | MoveAhead(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | RotateRight | RotateRight | RotateLeft | RotateLeft | RotateLeft | MoveAhead(Medium) | MoveAhead(Medium) | MoveLeft(Small) | MoveAhead(Medium) | MoveLeft(Large) | RotateLeft | MoveBack(Large),,25
procthor406,,,,,env_error,RotateRight | RotateRight | RotateLeft | RotateLeft | RotateLeft | MoveLeft(Medium) | MoveAhead(Medium) | MoveLeft(Medium) | MoveAhead(Medium) | RotateLeft | RotateLeft | MoveAhead(Medium) | RotateRight | RotateRight | MoveAhead(Medium) | MoveRight(Medium) | RotateLeft | MoveLeft(Medium) | MoveAhead(Medium) | RotateLeft | MoveRight(Medium) | RotateRight | MoveAhead(Medium) | MoveRight(Medium) | RotateRight | RotateRight | RotateRight | RotateLeft,,28
procthor419,,,,,env_error,RotateLeft | MoveLeft(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | RotateRight | MoveLeft(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | MoveLeft(Medium) | MoveLeft(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | RotateLeft | MoveAhead(Medium) | MoveLeft(Medium) | RotateLeft | OpenObject(Door) | MoveAhead(Medium) | MoveLeft(Small) | MoveRight(Small) | OpenObject(Door) | MoveBack(Small) | OpenObject(Door) | MoveLeft(Small) | OpenObject(Door),,26
procthor900,,,,,env_error,RotateRight | RotateRight | MoveAhead(Medium) | RotateLeft | MoveAhead(Medium) | MoveAhead(Medium) | MoveAhead(Medium) | MoveRight(Small) | RotateRight | MoveAhead(Medium) | RotateLeft | MoveRight(Small) | MoveAhead(Medium) | MoveAhead(Medium) | MoveRight(Small) | MoveAhead(Small) | MoveAhead(Medium) | MoveAhead(Small) | MoveRight(Small) | MoveRight(Small) | MoveAhead(Medium) | MoveAhead(Small) | MoveAhead(Small) | MoveRight(Small) | MoveRight(Small) | MoveAhead(Medium) | MoveAhead(Small) | RotateRight | RotateRight | RotateLeft | RotateRight,,31
procthor901,,,,,env_error,RotateLeft | RotateRight | MoveAhead(Medium) | RotateLeft | MoveLeft(Medium) | MoveRight(Medium) | MoveBack(Small) | MoveRight(Medium) | MoveAhead(Medium) | LookDown | MoveLeft(Small) | MoveBack(Small) | MoveBack(Medium) | MoveBack(Medium) | MoveLeft(Medium) | MoveRight(Medium) | MoveAhead(Medium) | RotateLeft | MoveLeft(Small) | MoveAhead(Small) | MoveAhead(Medium) | PickupObject(Newspaper) | MoveLeft(Large) | MoveAhead(Medium) | MoveRight(Medium),,25
procthor902,,,,,env_error,RotateRight | RotateRight | RotateLeft | RotateLeft | RotateLeft | RotateLeft | MoveRight(Small) | RotateLeft | OpenObject(Fridge) | RotateRight | RotateRight | MoveAhead(Medium) | RotateLeft | LookDown | MoveRight(Small) | RotateLeft | OpenObject(Fridge) | RotateRight | MoveAhead(Medium) | MoveLeft(Medium) | RotateLeft | LookUp | RotateRight | RotateLeft | MoveAhead(Medium) | RotateRight | MoveLeft(Small) | MoveRight(Small),,28
